epoch,train_loss,test_acc@1
1,6.7189,35.40
2,6.6926,36.45
3,6.7492,39.20
4,6.6534,41.19
5,6.5123,43.28
6,6.2934,45.62
7,6.0827,47.78
8,5.9157,49.76
9,5.7107,50.98
10,5.4981,52.24
11,5.2837,52.84
12,5.1280,54.69
13,4.9687,55.60
14,4.8497,56.23
15,4.7078,57.78
16,4.5819,58.79
17,4.4744,59.50
18,4.3520,60.79
19,4.2887,62.35
20,4.1931,62.98
21,4.1092,63.95
22,4.0394,64.30
23,3.9879,65.80
24,3.9252,66.22
25,3.8709,66.92
26,3.8264,67.43
27,3.7785,68.33
28,3.7369,67.62
29,3.6843,68.39
30,3.6801,69.30
31,3.6201,68.49
32,3.5943,69.51
33,3.5658,69.75
34,3.5227,69.77
35,3.5041,70.65
36,3.4874,70.38
37,3.4437,71.38
38,3.4244,71.90
39,3.4073,71.32
40,3.3831,71.90
41,3.3653,72.06
42,3.3401,72.14
43,3.3081,72.24
44,3.3007,72.69
45,3.2875,72.57
46,3.2609,71.81
47,3.2374,72.92
48,3.2254,73.43
49,3.2161,72.84
50,3.1999,73.66
51,3.1743,72.95
52,3.1622,73.96
53,3.1461,74.13
54,3.1376,74.22
55,3.1342,72.81
56,3.1019,74.33
57,3.0889,75.07
58,3.0933,74.26
59,3.0875,74.25
60,3.0611,74.55
61,3.0538,74.79
62,3.0443,74.77
63,3.0528,75.31
64,3.0228,74.77
65,3.0119,74.62
66,2.9921,75.34
67,2.9683,75.39
68,2.9703,75.10
69,2.9699,75.47
70,2.9674,76.05
71,2.9427,75.90
72,2.9299,75.48
73,2.9407,76.30
74,2.9210,76.78
75,2.9070,77.08
76,2.9048,76.22
77,2.8901,76.38
78,2.8723,76.72
79,2.8776,75.74
80,2.8644,76.42
81,2.8560,77.42
82,2.8428,76.98
83,2.8454,76.92
84,2.8428,77.47
85,2.8343,77.17
86,2.8245,76.99
87,2.8118,77.07
88,2.8166,77.31
89,2.7845,76.95
90,2.7925,77.38
91,2.7902,77.92
92,2.7797,76.81
93,2.7747,77.56
94,2.7542,78.30
95,2.7460,77.92
96,2.7507,77.60
97,2.7450,78.44
98,2.7466,77.53
99,2.7405,78.67
100,2.7081,78.36
101,2.7173,78.47
102,2.7103,78.23
103,2.6959,78.94
104,2.6900,78.78
105,2.6926,78.62
106,2.6889,79.01
107,2.6861,79.23
108,2.6760,78.45
109,2.6510,79.12
110,2.6616,79.49
111,2.6319,79.23
112,2.6361,79.33
113,2.6200,79.21
114,2.6340,78.96
115,2.6309,79.25
116,2.6303,79.37
117,2.5945,80.07
118,2.6091,79.18
119,2.5892,80.00
120,2.5662,80.01
121,2.5618,79.91
122,2.5649,79.89
123,2.5721,80.23
124,2.5535,79.97
125,2.5643,79.95
126,2.5480,80.21
127,2.5561,80.39
128,2.5452,80.49
129,2.5371,80.78
130,2.5357,80.73
131,2.5140,80.81
132,2.5040,79.76
133,2.5161,80.32
134,2.5039,80.49
135,2.4874,80.52
136,2.5048,80.74
137,2.4847,81.20
138,2.4974,80.62
139,2.4708,81.08
140,2.4755,80.54
141,2.4535,80.77
142,2.4556,81.13
143,2.4458,81.33
144,2.4428,81.42
145,2.4562,81.57
146,2.4473,81.66
147,2.4373,81.64
148,2.4219,81.95
149,2.4199,81.26
150,2.4232,81.69
151,2.4169,81.49
152,2.4144,81.55
153,2.4002,81.56
154,2.3858,81.69
155,2.3858,81.69
156,2.3920,82.09
157,2.3641,81.94
158,2.3834,82.03
159,2.3631,81.88
160,2.3624,82.07
161,2.3537,82.06
162,2.3540,82.03
163,2.3514,82.33
164,2.3442,81.86
165,2.3368,82.29
166,2.3277,82.28
167,2.3281,82.57
168,2.3222,82.49
169,2.3336,82.42
170,2.3239,82.77
171,2.3119,82.54
172,2.3062,82.83
173,2.3145,82.53
174,2.3145,82.73
175,2.2944,82.67
176,2.3058,82.81
177,2.3069,82.74
178,2.2780,82.91
179,2.2978,82.97
180,2.2964,82.77
181,2.2897,82.89
182,2.2877,82.85
183,2.2720,82.83
184,2.2958,82.90
185,2.2944,82.85
186,2.2731,82.94
187,2.2775,83.05
188,2.2691,82.97
189,2.2562,82.96
190,2.2714,83.00
191,2.2741,82.92
192,2.2776,82.95
193,2.2605,82.90
194,2.2710,82.97
195,2.2748,82.94
196,2.2703,82.90
197,2.2608,82.90
198,2.2693,82.97
199,2.2704,82.89
200,2.2757,82.92
